"","prows_total","prows_n","prows_mean","prows_min","prows_max","prows_median","prows_range"
"06Z137","33","14","1.20521428571429","1.145","1.26","1.2145","1.145_1.26"
"07H905","33","18","1.18955555555556","1.151","1.244","1.1845","1.151_1.244"
"07X444","34","18","1.24205555555556","1.205","1.278","1.241","1.205_1.278"
"09X106","32","16","1.2006875","1.152","1.32","1.1965","1.152_1.32"
"10Y0271","33","14","1.29014285714286","1.238","1.342","1.294","1.238_1.342"
"11V225","33","18","1.2365","1.158","1.33","1.243","1.158_1.33"
"G13N001","232","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N002","220","207","1.1968115942029","1.096","1.311","1.198","1.096_1.311"
"G13N003","210","139","1.24462589928058","1.128","1.384","1.244","1.128_1.384"
"G13N004","220","220","1.28063636363636","1.137","1.419","1.2795","1.137_1.419"
"G13N005","220","219","1.24509132420091","1.118","1.345","1.248","1.118_1.345"
"G13N006","220","191","1.23417277486911","1.13","1.35","1.24","1.13_1.35"
"G13N007","220","219","1.2807397260274","1.146","1.43","1.28","1.146_1.43"
"G13N008","220","220","1.27776818181818","1.16","1.398","1.278","1.16_1.398"
"G13N009","189","170","1.25264705882353","1.14","1.388","1.2535","1.14_1.388"
"G13N010","220","220","1.19931363636364","1.096","1.351","1.197","1.096_1.351"
"G13N011","143","108","1.19653703703704","1.119","1.344","1.198","1.119_1.344"
"G13N012","220","195","1.22324102564103","1.082","1.419","1.219","1.082_1.419"
"G13N013","220","220","1.22351363636364","1.062","1.375","1.22","1.062_1.375"
"G13N014","220","219","1.18708219178082","1.049","1.298","1.189","1.049_1.298"
"G13N015","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N016","220","207","1.26852657004831","1.015","1.386","1.271","1.015_1.386"
"G13N017","220","216","1.18670833333333","1.055","1.282","1.184","1.055_1.282"
"G13N018","220","219","1.24834246575342","1.143","1.359","1.247","1.143_1.359"
"G13N019","220","213","1.22152112676056","1.125","1.35","1.222","1.125_1.35"
"G13N020","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N021","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N022","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N023","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N024","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N025","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N026","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N027","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N028","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N029","220","204","1.23377450980392","1.076","1.352","1.235","1.076_1.352"
"G13N030","220","218","1.27342660550459","1.124","1.416","1.275","1.124_1.416"
"G13N031","220","219","1.24613698630137","1.113","1.386","1.248","1.113_1.386"
"G13N032","220","220","1.25374090909091","1.127","1.382","1.2545","1.127_1.382"
"G13N033","220","219","1.24928767123288","1.031","1.39","1.248","1.031_1.39"
"G13N034","220","219","1.2677899543379","1.131","1.4","1.267","1.131_1.4"
"G13N035","220","96","1.24466666666667","1.092","1.386","1.239","1.092_1.386"
"G13N036","220","198","1.22820707070707","1.122","1.36","1.227","1.122_1.36"
"G13N037","220","220","1.28132272727273","1.156","1.404","1.2815","1.156_1.404"
"G13N038","220","217","1.22276036866359","1.072","1.328","1.224","1.072_1.328"
